Date,Link,Rate,Diff
16/11/16,https://www.cbr.ru/press/pr/?file=16122016_133003keyrate2016-12-16T13_16_40.htm,10.00,0
28/10/16,https://www.cbr.ru/press/pr/?file=28102016_133004keyrate2016-10-28T13_09_02.htm,10.00,-1
16/09/16,https://www.cbr.ru/press/pr/?file=16092016_132949keyrate2016-09-16T12_56_02.htm,10.50,0
29/07/16,https://www.cbr.ru/press/pr/?file=29072016_133016keyrate2016-07-29T13_25_34.htm,10.50,-1
10/06/16,https://www.cbr.ru/press/pr/?file=10062016_133019dkp2016-06-10T13_22_24.htm,11.00,0
29/04/16,https://www.cbr.ru/press/pr/?file=29042016_133001dkp2016-04-29T13_03_28.htm,11.00,0
18/03/16,https://www.cbr.ru/press/pr/?file=18032016_133000keyrate2016-03-18T13_21_21.htm,11.00,0
29/01/16,https://www.cbr.ru/press/pr/?file=29012016_133000keyrate2016-01-29T13_01_16.htm,11.00,0
29/12/15,https://www.cbr.ru/press/pr/?file=29122015_113403if2015-12-29T10_44_49.htm,11.00,0
11/12/15,https://www.cbr.ru/press/pr/?file=11122015_133000keyrate2015-12-11T13_15_16.htm,11.00,0
30/10/15,https://www.cbr.ru/press/pr/?file=30102015_133001keyrate2015-10-30T13_17_50.htm,11.00,0
11/09/15,https://www.cbr.ru/press/pr/?file=11092015_160009if2015-09-11T15_43_15.htm,11.00,0
11/09/15,https://www.cbr.ru/press/pr/?file=11092015_133021keyrate2015-09-11T13_01_35.htm,11.00,-1
31/07/15,https://www.cbr.ru/press/pr/?file=31072015_133033keyrate2015-07-31T13_03_35.htm,11.50,-1
15/06/15,https://www.cbr.ru/press/pr/?file=15062015_133028keyrate2015-06-15T13_25_44.htm,12.50,0
06/05/15,https://www.cbr.ru/press/pr/?file=06052015_163917if2015-05-06T16_30_05.htm,12.50,-1
30/04/15,https://www.cbr.ru/press/pr/?file=30042015_133103dkp2015-04-30T13_05_21.htm,14.00,
